timestamp,run_id,run_mode,command_angle_deg,direction,linear_x_mps,angular_z_radps,duration_sec,tracker_start_x,tracker_start_y,tracker_start_yaw_deg,tracker_final_x,tracker_final_y,tracker_final_yaw_deg,tracker_yaw_change_deg,tracker_yaw_error_deg,tracker_dx,tracker_dy,tracker_position_drift_m,odom_start_x,odom_start_y,odom_start_yaw_deg,odom_final_x,odom_final_y,odom_final_yaw_deg,odom_yaw_change_deg,odom_yaw_error_deg,odom_dx,odom_dy,odom_position_drift_m,notes
2026-05-04T10:55:41.853236,run_real_rot_cw90_001,rotate-in-place,-90.0,clockwise,0.0,-0.3,5.235987755982989,0.200642,0.156876,89.413692,0.255154,0.102298,177.797802,88.38410999999996,178.38410999999996,0.054512000000000005,-0.05457799999999999,0.0771382928771437,7.41187368959069e-06,-1.7216749123206073e-05,74.7999631351918,0.000360361322393723,3.958312506690701e-05,-12.110635524662877,-86.91059865985468,3.089401340145315,0.0003529494487041323,5.679987419011308e-05,0.0003574906139307207,real_rotation
2026-05-04T10:57:16.336840,run_real_rot_cw90_002,rotate-in-place,-90.0,clockwise,0.0,-0.3,5.235987755982989,0.201482,0.157656,89.962723,0.258045,0.10171,178.349299,88.38657599999999,178.386576,0.05656300000000003,-0.055945999999999996,0.07955707312992355,0.0004810228749523547,0.0002632790608136937,78.56729057569574,9.596260787585423e-05,-0.0003370159775014313,-9.233215992440844,-87.80050656813658,2.1994934318634023,-0.00038506026707650046,-0.000600295038315125,0.0007131798807501396,real_rotation
2026-05-04T10:58:25.156759,run_real_rot_cw90_003,rotate-in-place,-90.0,clockwise,0.0,-0.3,5.235987755982989,0.199987,0.158373,89.962785,0.25517,0.104428,177.238519,87.275734,177.275734,0.05518300000000001,-0.05394500000000001,0.07717011412457546,0.00032124528321482394,-0.0005547023240251577,80.6212582327128,0.0005089796604493233,-0.0005263505352433846,-6.3744518412762305,-86.99571007398903,3.0042899260109834,0.00018773437723449934,2.8351788781773106e-05,0.00018986316210037053,real_rotation
2026-05-04T10:58:56.609711,run_real_rot_cw90_004,rotate-in-place,-90.0,clockwise,0.0,-0.3,5.235987755982989,0.202233,0.156925,89.962689,0.257345,0.101598,177.800944,87.838255,177.838255,0.055111999999999994,-0.055327000000000015,0.07809231378951453,0.0006249580993703137,-0.0007714901833221783,81.88719281423963,0.0006852332278902638,-0.001077436950965517,-5.310847953532676,-87.1980407677723,2.8019592322277163,6.027512851995004e-05,-0.00030594676764333873,0.00031182770202389586,real_rotation
2026-05-04T10:59:47.706757,run_real_rot_cw90_005,rotate-in-place,-90.0,clockwise,0.0,-0.3,5.235987755982989,0.201577,0.158415,90.511884,0.258054,0.10384,177.78936,87.27747599999998,177.27747599999998,0.056477,-0.054575,0.07853713869246828,0.0010786420400160997,-0.0015402594703686956,83.2944986512074,0.0006751181021702325,-0.0015372493531411687,-3.5055475272367946,-86.8000461784442,3.1999538215557948,-0.0004035239378458672,3.010117227526853e-06,0.0004035351647878518,real_rotation
2026-05-04T11:03:24.371861,run_real_rot_cw90_006,rotate-in-place,-90.0,clockwise,0.0,-0.3,5.235987755982989,0.20084,0.157653,90.511953,0.256598,0.103812,177.789797,87.27784399999996,177.27784399999996,0.055758,-0.053840999999999986,0.0775100499612792,0.0009514512884255211,-0.001606456089661822,87.4334908353976,0.0009596044922382742,-0.0014941513874172723,0.48731307982607663,-86.94617775557153,3.0538222444284884,8.153203812753134e-06,0.00011230470224454976,0.00011260027033115538,real_rotation
2026-05-04T11:04:30.045776,run_real_rot_cw90_007,rotate-in-place,-90.0,clockwise,0.0,-0.3,5.235987755982989,0.202125,0.15616,89.424156,0.258079,0.10087,177.804509,88.38035300000001,178.380353,0.055954000000000004,-0.05528999999999999,0.07866278800042623,0.0011526957654734264,-0.001597587758647244,91.37177791082695,0.0006888887657933938,-0.0017390449533402597,4.184427669766159,-87.18735024106078,2.812649758939216,-0.00046380699968003264,-0.00014145719469301583,0.0004848990316371147,real_rotation
2026-05-04T11:05:17.642107,run_real_rot_cw90_008,rotate-in-place,-90.0,clockwise,0.0,-0.3,5.235987755982989,0.200636,0.157623,89.413692,0.255911,0.102957,177.245841,87.83214900000002,177.83214900000002,0.05527499999999999,-0.054666000000000006,0.07774121931768242,0.0007392526244463254,-0.001469984828271955,93.67808007654095,0.0002774137139545629,-0.0013707324382528038,6.3492296602186675,-87.32885041632228,2.6711495836777317,-0.0004618389104917625,9.925239001915128e-05,0.00047238354773291154,real_rotation
2026-05-04T11:06:07.799057,run_real_rot_cw90_009,rotate-in-place,-90.0,clockwise,0.0,-0.3,5.235987755982989,0.200642,0.156876,89.413692,0.255923,0.101471,177.253408,87.83971600000001,177.839716,0.055281000000000025,-0.05540499999999998,0.07826687029644153,0.0003952316287736456,-0.0009444010303160888,96.1652661420444,0.000299083181196953,-0.0012290193052299937,8.815107243058982,-87.35015889898543,2.649841101014573,-9.614844757669256e-05,-0.00028461827491390484,0.00030041985018699265,real_rotation
2026-05-04T11:07:02.853946,run_real_rot_cw90_010,rotate-in-place,-90.0,clockwise,0.0,-0.3,5.235987755982989,0.20084,0.157653,90.511953,0.25657,0.103909,178.338275,87.826322,177.826322,0.05573000000000003,-0.053743999999999986,0.07742254475280441,0.0005270724135630287,-0.0011719654556034144,97.81599309084227,0.0002848832557445068,-0.0012115288012750965,11.103224030107839,-86.71276906073443,3.287230939265555,-0.00024218915781852194,-3.956334567168209e-05,0.0002453993612167357,real_rotation
